"","LA1625","LA2869","LA2324","LA2541","LA1986","LA2976","LA2650"
"LA1625",0,0.277471918508462,0.446208483653627,0.369273396868765,0.503076689882474,0.527084568953896,0.520855060227062
"LA2869",0.277471918508462,0,0.381444132482549,0.320986879896575,0.450764636594753,0.476827303827265,0.469568671789404
"LA2324",0.446208483653627,0.381444132482549,0,0.398866326974508,0.263503730789155,0.347016899772317,0.331190886165484
"LA2541",0.369273396868765,0.320986879896575,0.398866326974508,0,0.451430143029969,0.482605873816704,0.480964453902959
"LA1986",0.503076689882474,0.450764636594753,0.263503730789155,0.451430143029969,0,0.297387419655446,0.315620222743811
"LA2976",0.527084568953896,0.476827303827265,0.347016899772317,0.482605873816704,0.297387419655446,0,0.34975222854236
"LA2650",0.520855060227062,0.469568671789404,0.331190886165484,0.480964453902959,0.315620222743811,0.34975222854236,0
